week,gameId,playId,nflId,displayName,position,frameId,teamAbbr,quarter,down,yardsToGo,yardlineNumber,yards_to_EZ,gameClock,av_x,av_y,av_dir,av_or,av_speed,av_dis,av_acc,wasInitialPassRusher,pred,class
1,2022091200,85,35459,Kareem Jackson,SS,116,DEN,1,2,10,30,30,14:17:00,14.364046856108116,9.621666590372769,57.038809523809526,260.73309523809525,0.6342857142857143,0.06333333333333334,0.3011904761904762,0,2.006668098729692e-5,0
1,2022091200,85,42030,K'Waun Williams,CB,116,DEN,1,2,10,30,30,14:17:00,7.301189713250974,10.01857135227753,97.12595238095238,261.9395238095238,0.1657142857142857,0.01642857142857142,0.3473809523809524,0,3.492233553907309e-4,0
1,2022091200,85,42393,Ronald Darby,CB,116,DEN,1,2,10,30,30,14:17:00,5.7816659037271645,15.075238018944196,230.9438095238095,226.59642857142856,0.7307142857142858,0.07238095238095238,0.5245238095238095,0,0.0023147173284316937,0
1,2022091200,85,42403,Randy Gregory,OLB,116,DEN,1,2,10,30,30,14:17:00,1.6466659037271636,5.836666590372768,184.94809523809525,216.1359523809524,0.12,0.01333333333333333,0.23142857142857143,1,0.7304168680722187,1
1,2022091200,85,42826,DeShawn Williams,DE,116,DEN,1,2,10,30,30,14:17:00,1.6121420942033542,-2.8173810286748515,226.8061904761905,304.53714285714284,0.12523809523809523,0.01285714285714285,0.22,1,0.9582639810211045,1
1,2022091200,85,42929,Alex Singleton,ILB,116,DEN,1,2,10,30,30,14:17:00,5.725475427536687,5.887380876087053,194.345,270.63214285714287,0.22785714285714287,0.0238095238095238,0.30047619047619045,0,0.028109248393606782,0
1,2022091200,85,43387,Justin Simmons,FS,116,DEN,1,2,10,30,30,14:17:00,13.050237332298591,-4.831904838198661,146.8504761904762,278.93904761904764,0.5630952380952381,0.05523809523809524,0.6876190476190476,0,6.511566949787335e-5,0
1,2022091200,85,45011,D.J. Jones,NT,116,DEN,1,2,10,30,30,14:17:00,1.659523046584307,-0.6247619810558038,183.58714285714285,268.32690476190476,0.12833333333333333,0.01357142857142857,0.2069047619047619,1,0.990160040863705,1
1,2022091200,85,46074,Bradley Chubb,OLB,116,DEN,1,2,10,30,30,14:17:00,1.713808760870021,-5.600952457246279,228.305,296.8364285714286,0.13285714285714287,0.01309523809523809,0.33261904761904765,0,0.7336303633747752,1
1,2022091200,85,47854,Dre'Mont Jones,DE,116,DEN,1,2,10,30,30,14:17:00,1.6380944751557345,2.297142780848958,208.97738095238097,266.3983333333333,0.23023809523809524,0.0238095238095238,0.31,1,0.9581654709870402,1
1,2022091200,85,53438,Patrick Surtain,CB,116,DEN,1,2,10,30,30,14:17:00,9.92428495134621,-11.663095314389135,173.8,292.4195238095238,0.185,0.01761904761904761,0.3416666666666667,0,6.923652199649491e-5,0
1,2022091200,109,35459,Kareem Jackson,SS,147,DEN,1,3,3,37,37,13:38:00,10.307051739814982,10.47205067169968,237.50192307692308,250.9974358974359,0.968974358974359,0.0967948717948718,0.7501282051282051,0,0.0011798956473486892,0
1,2022091200,109,42030,K'Waun Williams,CB,147,DEN,1,3,3,37,37,13:38:00,6.813077380840624,-9.381410866761858,137.43358974358975,265.08576923076924,0.4419230769230769,0.045,0.5412820512820513,0,6.384466139300243e-4,0
1,2022091200,109,42393,Ronald Darby,CB,147,DEN,1,3,3,37,37,13:38:00,6.505769688532931,19.140127594776605,196.73166666666663,250.9375641025641,0.4964102564102564,0.05115384615384615,0.6084615384615385,0,0.001206512129401854,0
1,2022091200,109,42403,Randy Gregory,OLB,147,DEN,1,3,3,37,37,13:38:00,1.6012825090457514,5.728717338366347,196.0720512820513,227.11115384615383,0.14333333333333334,0.01525641025641025,0.24371794871794872,1,0.7307546470546648,1
1,2022091200,109,42929,Alex Singleton,ILB,147,DEN,1,3,3,37,37,13:38:00,5.2329491757124185,-2.473077533428525,179.75974358974358,266.89858974358975,0.29217948717948716,0.02935897435897436,0.445,0,0.035534783860232136,0
1,2022091200,109,43387,Justin Simmons,FS,147,DEN,1,3,3,37,37,13:38:00,14.46923122699447,-4.743590353941345,93.605,272.0664102564103,0.5084615384615384,0.05051282051282051,0.3817948717948718,0,1.5031857278891422e-5,0
1,2022091200,109,45011,D.J. Jones,NT,147,DEN,1,3,3,37,37,13:38:00,1.936538919302162,-1.3237185590695502,180.53858974358977,280.7098717948718,0.16397435897435897,0.01666666666666666,0.2167948717948718,1,0.9865006977441626,1
1,2022091200,109,46074,Bradley Chubb,OLB,147,DEN,1,3,3,37,37,13:38:00,2.1479491757124185,-5.49897496932596,237.44102564102565,292.19243589743587,0.1721794871794872,0.01679487179487179,0.39166666666666666,1,0.6687315143965192,1
1,2022091200,109,47854,Dre'Mont Jones,DE,147,DEN,1,3,3,37,37,13:38:00,1.6634619962252388,2.6344865691355777,191.8103846153846,267.91576923076923,0.17461538461538462,0.01871794871794872,0.24846153846153848,1,0.9508480646064625,1
1,2022091200,109,52706,Jonas Griffith,ILB,147,DEN,1,3,3,37,37,13:38:00,5.79974404750729,1.223460928109937,212.49692307692308,275.76,0.28205128205128205,0.02782051282051282,0.493974358974359,0,0.02769059291356737,0
1,2022091200,109,53438,Patrick Surtain,CB,147,DEN,1,3,3,37,37,13:38:00,8.956667124430368,-15.723846764197756,118.9525641025641,301.61141025641024,0.4091025641025641,0.04038461538461539,0.568076923076923,0,1.0660683947107476e-4,0
1,2022091200,156,35459,Kareem Jackson,SS,94,DEN,1,1,15,49,49,12:52:00,13.482855922154046,4.2657140568324845,33.72142857142857,258.7257142857143,0.3442857142857143,0.03428571428571429,0.16285714285714287,0,3.4641456416262446e-5,0
1,2022091200,156,40347,Mike Purcell,NT,94,DEN,1,1,15,49,49,12:52:00,1.5785702078683326,-0.19428594316751455,180.38,284.40000000000003,0.18571428571428572,0.01571428571428571,0.5614285714285714,1,0.9905558310841744,1
1,2022091200,156,42393,Ronald Darby,CB,94,DEN,1,1,15,49,49,12:52:00,7.815713065011189,15.7299997711182,285.4157142857143,246.75285714285715,0.7842857142857143,0.07428571428571429,0.7614285714285715,0,6.6088453885979e-4,0
1,2022091200,156,42826,DeShawn Williams,DE,94,DEN,1,1,15,49,49,12:52:00,1.334284493582617,2.4342854854039127,162.19,222.54,0.06,0.00571428571428571,0.2542857142857143,1,0.9597182419697865,1
1,2022091200,156,42929,Alex Singleton,ILB,94,DEN,1,1,15,49,49,12:52:00,5.345713065011189,-1.6142859431675145,204.15142857142857,272.93,0.17,0.01714285714285714,0.16285714285714287,0,0.037040176275733736,0
1,2022091200,156,43387,Justin Simmons,FS,94,DEN,1,1,15,49,49,12:52:00,13.527141636439762,-10.231428800310372,256.9585714285714,285.61,0.16999999999999998,0.01714285714285714,0.26,0,7.945593094295364e-5,0
1,2022091200,156,46074,Bradley Chubb,OLB,94,DEN,1,1,15,49,49,12:52:00,1.2928559221540457,5.78142834254677,256.5642857142857,220.66,0.1,0.01,0.3142857142857143,1,0.8405172462967508,1
1,2022091200,156,47854,Dre'Mont Jones,DE,94,DEN,1,1,15,49,49,12:52:00,1.3571416364397604,-3.2071430860246575,184.3871428571429,274.45714285714286,0.1871428571428571,0.01428571428571428,0.6114285714285714,1,0.958032310093848,1
1,2022091200,156,52706,Jonas Griffith,ILB,94,DEN,1,1,15,49,49,12:52:00,5.74714163643976,1.8728569139753424,285.10857142857145,260.35857142857145,0.08714285714285715,0.01,0.16285714285714287,0,0.045925641091588025,0
1,2022091200,156,53438,Patrick Surtain,CB,94,DEN,1,1,15,49,49,12:52:00,7.702855922154045,-19.792857371738943,103.94,294.6928571428571,0.7828571428571429,0.08,0.3414285714285714,0,2.715378468906347e-4,0
1,2022091200,156,53534,Baron Browning,ILB,94,DEN,1,1,15,49,49,12:52:00,1.3114273507254757,-5.682857371738945,225.8242857142857,300.8257142857143,0.05714285714285714,0.00285714285714285,0.20142857142857143,1,0.41887361155719155,0
1,2022091200,201,35459,Kareem Jackson,SS,137,DEN,1,3,2,38,62,11:37:00,11.536271152870327,4.845097657745985,137.57,262.2770588235294,0.2880392156862745,0.02862745098039215,0.48,0,2.632146978359381e-4,0
1,2022091200,201,40347,Mike Purcell,NT,137,DEN,1,3,2,38,62,11:37:00,0.936271152870327,-0.22215724421479985,196.89411764705883,251.70078431372548,0.1231372549019608,0.01176470588235294,0.29627450980392156,1,0.9943827239233675,1
1,2022091200,201,42030,K'Waun Williams,CB,137,DEN,1,3,2,38,62,11:37:00,6.347055466595818,-12.08529449911676,132.2364705882353,278.69803921568626,0.09745098039215688,0.0096078431372549,0.26529411764705885,0,7.642872505911346e-4,0
1,2022091200,201,42393,Ronald Darby,CB,137,DEN,1,3,2,38,62,11:37:00,4.423918211693858,10.027646677353829,248.64176470588237,246.3994117647059,0.7370588235294118,0.07392156862745099,0.5198039215686274,0,0.006627617174987201,0
1,2022091200,201,42403,Randy Gregory,OLB,137,DEN,1,3,2,38,62,11:37:00,0.6235260548311121,-6.162157244214799,176.37725490196078,306.78705882352943,0.07686274509803921,0.00901960784313725,0.1635294117647059,0,0.8148494128232605,1
1,2022091200,201,42826,DeShawn Williams,DE,137,DEN,1,3,2,38,62,11:37:00,0.7484280156154268,2.4388231479420637,181.51607843137256,227.98019607843136,0.17294117647058824,0.01803921568627451,0.2662745098039216,1,0.9744912637696065,1
1,2022091200,201,42929,Alex Singleton,ILB,137,DEN,1,3,2,38,62,11:37:00,3.655290760713465,0.7319604028440237,196.31843137254899,262.1621568627451,0.5929411764705882,0.05941176470588235,0.7774509803921569,1,0.12779204310846762,0
1,2022091200,201,43387,Justin Simmons,FS,137,DEN,1,3,2,38,62,11:37:00,11.769408407772287,-7.072353322646173,149.6521568627451,287.3670588235294,0.34352941176470586,0.03450980392156862,0.363921568627451,0,1.5148907170029803e-4,0
1,2022091200,201,46074,Bradley Chubb,OLB,137,DEN,1,3,2,38,62,11:37:00,0.8423495842428765,6.116862363628337,179.42117647058822,212.44156862745095,0.14431372549019608,0.01372549019607843,0.296078431372549,0,0.8100322540509448,1
1,2022091200,201,47854,Dre'Mont Jones,DE,137,DEN,1,3,2,38,62,11:37:00,0.7058789960075831,-3.254706263822643,189.02019607843135,262.80764705882353,0.11372549019607844,0.01098039215686274,0.23352941176470587,1,0.9732558489090749,1
1,2022091200,201,53438,Patrick Surtain,CB,137,DEN,1,3,2,38,62,11:37:00,1.2631338979683675,-20.09764744029323,202.68,270.86039215686276,0.153921568627451,0.01549019607843137,0.3084313725490196,0,0.04673054642987384,0
1,2022091200,264,35562,Al Woods,NT,110,SEA,1,1,10,11,89,11:21:00,0.8307020595617599,-0.4298246376974081,218.44754385964913,239.94719298245613,0.1349122807017544,0.01421052631578947,0.1850877192982456,1,0.9956588708013522,1
1,2022091200,264,41464,Shelby Harris,DT,110,SEA,1,1,10,11,89,11:21:00,0.7735090771056188,2.783508695635925,218.18526315789475,262.0726315789474,0.07964912280701754,0.00789473684210526,0.14035087719298245,1,0.9959213363829497,1
1,2022091200,264,42543,Quandre Diggs,FS,110,SEA,1,1,10,11,89,11:21:00,11.284737147281058,-5.964210602609689,138.39491228070176,230.24245614035087,0.41157894736842104,0.04228070175438597,0.6150877192982456,0,2.671109029268943e-4,0
1,2022091200,264,44818,Jamal Adams,SS,110,SEA,1,1,10,11,89,11:21:00,11.87912311219334,5.38263150265347,189.86912280701753,259.6770175438597,0.8466666666666667,0.0863157894736842,0.7192982456140351,0,3.2026067848830764e-4,0
1,2022091200,264,46117,Uchenna Nwosu,OLB,110,SEA,1,1,10,11,89,11:21:00,0.3747371472810578,6.209473607916627,142.29298245614035,192.59438596491228,0.2601754385964912,0.02596491228070175,0.5057894736842106,1,0.8541089243472189,1
1,2022091200,264,46487,Poona Ford,DE,110,SEA,1,1,10,11,89,11:21:00,0.4622810069301815,-3.9205263920833726,182.2661403508772,244.0638596491228,0.4273684210526315,0.0412280701754386,0.6666666666666666,1,0.9801228450879232,1
1,2022091200,264,47871,Cody Barton,MLB,110,SEA,1,1,10,11,89,11:21:00,4.203509077105621,0.8924560640569781,196.5315789473684,270.30526315789473,0.5450877192982456,0.05333333333333334,0.7389473684210527,0,0.07353068721382919,0
1,2022091200,264,47941,Michael Jackson,CB,110,SEA,1,1,10,11,89,11:21:00,5.343684515702111,-12.035263234188635,136.23228070175438,311.69929824561405,0.28596491228070176,0.02719298245614035,0.5024561403508772,0,0.0016350593603492998,0
1,2022091200,264,52435,Jordyn Brooks,ILB,110,SEA,1,1,10,11,89,11:21:00,3.635438901667023,-2.7010527078728463,250.0414035087719,283.2819298245614,0.532280701754386,0.0519298245614035,0.791578947368421,0,0.15805025957998892,0
1,2022091200,264,52456,Darrell Taylor,OLB,110,SEA,1,1,10,11,89,11:21:00,0.7149125858775498,-7.029122883311443,217.51,297.7761403508772,0.5485964912280702,0.05473684210526316,0.6794736842105263,0,0.8561238457321846,1
1,2022091200,264,54618,Tariq Woolen,CB,110,SEA,1,1,10,11,89,11:21:00,1.5073687262284257,9.20263150265347,160.6961403508772,294.42859649122806,0.09052631578947368,0.00859649122807017,0.2350877192982456,0,0.03034963242367584,0
1,2022091200,286,35562,Al Woods,NT,136,SEA,1,2,10,11,89,11:18:00,1.01667032877607,-0.08820467044142792,203.55833333333337,234.0047435897436,0.09717948717948718,0.00961538461538461,0.18730769230769231,1,0.9948220687143794,1
1,2022091200,286,41464,Shelby Harris,DT,136,SEA,1,2,10,11,89,11:18:00,1.0616703287760705,2.67474404750729,224.46564102564105,268.8516666666667,0.0926923076923077,0.00935897435897436,0.11705128205128204,1,0.9953612089870382,1
1,2022091200,286,42543,Quandre Diggs,FS,136,SEA,1,2,10,11,89,11:18:00,12.103593405699144,-5.522435439672197,145.52076923076922,260.8410256410256,0.30653846153846154,0.03076923076923077,0.4635897435897436,0,1.3936822933949402e-4,0
1,2022091200,286,44818,Jamal Adams,SS,136,SEA,1,2,10,11,89,11:18:00,12.52218314928889,5.097949175712418,180.6246153846154,250.68846153846152,0.765,0.07628205128205129,0.8266666666666667,0,1.982602989588481e-4,0
1,2022091200,286,46117,Uchenna Nwosu,OLB,136,SEA,1,2,10,11,89,11:18:00,1.0475677646735058,6.559231226994469,183.56397435897435,217.2232051282051,0.09384615384615384,0.00858974358974359,0.1932051282051282,1,0.7973306319533539,1
1,2022091200,286,46487,Poona Ford,DE,136,SEA,1,2,10,11,89,11:18:00,1.0189780210837616,-2.608204670441428,203.68089743589744,280.8066666666667,0.10576923076923075,0.01076923076923076,0.24525641025641023,1,0.971916536452347,1
